index,R,F,Avg_M,Count,RFM_Level
0,4,1,5121.214583333333,144,Potential
1,4,2,8503.386485355648,239,Can't Loose Them
2,4,3,12185.951431034482,290,Gold
3,4,4,18744.19980232558,430,Gold
4,3,1,5076.7407096774195,155,Promising
5,3,2,8499.556146616542,266,Loyal
6,3,3,12095.5816,325,Gold
7,3,4,18786.61404494382,356,Gold
8,2,1,4884.636892655367,177,Needs Attention
9,2,2,8173.856144781144,297,Potential
10,2,3,12267.26375,312,Can't Loose Them
11,2,4,19073.41199367089,316,Gold
12,1,1,4429.88862244898,294,Require Activation
13,1,2,8677.30678694158,291,Promising
14,1,3,11681.718588039867,301,Loyal
15,1,4,18231.710714285713,217,Gold
